RecordNo,Województwo,Area,Company,Recommendation,Score,Wiek,Wykształcenie,Funkcja,detrac,neutral,promotor,total
1151,dolnośląskie,100-250 Ha,Borowki,9,Promotor,40-49,Średnie ogólne,Dyrektor / wicedyrektor,0,0,1,1
1151,dolnośląskie,100-250 Ha,Porzeczki,2,Detractor,40-49,Średnie ogólne,Dyrektor / wicedyrektor,1,0,0,1
1151,dolnośląskie,100-250 Ha,Maliny,10,Promotor,40-49,Średnie ogólne,Dyrektor / wicedyrektor,0,0,1,1
1151,dolnośląskie,100-250 Ha,Aronia,9,Promotor,40-49,Średnie ogólne,Dyrektor / wicedyrektor,0,0,1,1
1151,dolnośląskie,100-250 Ha,Jagody,10,Promotor,40-49,Średnie ogólne,Dyrektor / wicedyrektor,0,0,1,1
1154,dolnośląskie,100-250 Ha,Jablka,9,Promotor,50+,Średnie techniczne,Agronom – ekspert,0,0,1,1
1154,dolnośląskie,100-250 Ha,Truskawki,3,Detractor,50+,Średnie techniczne,Agronom – ekspert,1,0,0,1
1154,dolnośląskie,100-250 Ha,Sliwki,5,Detractor,50+,Średnie techniczne,Agronom – ekspert,1,0,0,1
1154,dolnośląskie,100-250 Ha,Gruszki,9,Promotor,50+,Średnie techniczne,Agronom – ekspert,0,0,1,1
1154,dolnośląskie,100-250 Ha,Wisnie,6,Detractor,50+,Średnie techniczne,Agronom – ekspert,1,0,0,1
1154,dolnośląskie,100-250 Ha,Borowki,NA,NA,50+,Średnie techniczne,Agronom – ekspert,NA,NA,NA,1
1154,dolnośląskie,100-250 Ha,Porzeczki,6,Detractor,50+,Średnie techniczne,Agronom – ekspert,1,0,0,1
1154,dolnośląskie,100-250 Ha,Maliny,1,Detractor,50+,Średnie techniczne,Agronom – ekspert,1,0,0,1
1154,dolnośląskie,100-250 Ha,Aronia,6,Detractor,50+,Średnie techniczne,Agronom – ekspert,1,0,0,1
1154,dolnośląskie,100-250 Ha,Jagody,4,Detractor,50+,Średnie techniczne,Agronom – ekspert,1,0,0,1
1167,dolnośląskie,5-25 Ha,Jablka,5,Detractor,30-39,Średnie techniczne,Główny agronom,1,0,0,1
1167,dolnośląskie,5-25 Ha,Truskawki,4,Detractor,30-39,Średnie techniczne,Główny agronom,1,0,0,1
1167,dolnośląskie,5-25 Ha,Sliwki,10,Promotor,30-39,Średnie techniczne,Główny agronom,0,0,1,1
1167,dolnośląskie,5-25 Ha,Gruszki,3,Detractor,30-39,Średnie techniczne,Główny agronom,1,0,0,1
1167,dolnośląskie,5-25 Ha,Wisnie,9,Promotor,30-39,Średnie techniczne,Główny agronom,0,0,1,1
1167,dolnośląskie,5-25 Ha,Borowki,3,Detractor,30-39,Średnie techniczne,Główny agronom,1,0,0,1
1167,dolnośląskie,5-25 Ha,Porzeczki,4,Detractor,30-39,Średnie techniczne,Główny agronom,1,0,0,1
1167,dolnośląskie,5-25 Ha,Maliny,3,Detractor,30-39,Średnie techniczne,Główny agronom,1,0,0,1
1167,dolnośląskie,5-25 Ha,Aronia,8,Neutral,30-39,Średnie techniczne,Główny agronom,0,1,0,1
1167,dolnośląskie,5-25 Ha,Jagody,2,Detractor,30-39,Średnie techniczne,Główny agronom,1,0,0,1
1191,kujawsko-pomorskie,5-25 Ha,Jablka,3,Detractor,50+,Wyższe,Dyrektor / wicedyrektor,1,0,0,1
1191,kujawsko-pomorskie,5-25 Ha,Truskawki,10,Promotor,50+,Wyższe,Dyrektor / wicedyrektor,0,0,1,1
1191,kujawsko-pomorskie,5-25 Ha,Sliwki,4,Detractor,50+,Wyższe,Dyrektor / wicedyrektor,1,0,0,1
1191,kujawsko-pomorskie,5-25 Ha,Gruszki,9,Promotor,50+,Wyższe,Dyrektor / wicedyrektor,0,0,1,1
1191,kujawsko-pomorskie,5-25 Ha,Wisnie,1,Detractor,50+,Wyższe,Dyrektor / wicedyrektor,1,0,0,1
1191,kujawsko-pomorskie,5-25 Ha,Borowki,7,Neutral,50+,Wyższe,Dyrektor / wicedyrektor,0,1,0,1
1191,kujawsko-pomorskie,5-25 Ha,Porzeczki,7,Neutral,50+,Wyższe,Dyrektor / wicedyrektor,0,1,0,1
1191,kujawsko-pomorskie,5-25 Ha,Maliny,NA,NA,50+,Wyższe,Dyrektor / wicedyrektor,NA,NA,NA,1
1191,kujawsko-pomorskie,5-25 Ha,Aronia,6,Detractor,50+,Wyższe,Dyrektor / wicedyrektor,1,0,0,1
1191,kujawsko-pomorskie,5-25 Ha,Jagody,10,Promotor,50+,Wyższe,Dyrektor / wicedyrektor,0,0,1,1
1203,kujawsko-pomorskie,100-250 Ha,Jablka,9,Promotor,50+,Średnie techniczne,Agronom – ekspert,0,0,1,1
1203,kujawsko-pomorskie,100-250 Ha,Truskawki,5,Detractor,50+,Średnie techniczne,Agronom – ekspert,1,0,0,1
1203,kujawsko-pomorskie,100-250 Ha,Sliwki,3,Detractor,50+,Średnie techniczne,Agronom – ekspert,1,0,0,1
1203,kujawsko-pomorskie,100-250 Ha,Gruszki,9,Promotor,50+,Średnie techniczne,Agronom – ekspert,0,0,1,1
1203,kujawsko-pomorskie,100-250 Ha,Wisnie,9,Promotor,50+,Średnie techniczne,Agronom – ekspert,0,0,1,1
1203,kujawsko-pomorskie,100-250 Ha,Borowki,5,Detractor,50+,Średnie techniczne,Agronom – ekspert,1,0,0,1
1203,kujawsko-pomorskie,100-250 Ha,Porzeczki,7,Neutral,50+,Średnie techniczne,Agronom – ekspert,0,1,0,1
1203,kujawsko-pomorskie,100-250 Ha,Maliny,4,Detractor,50+,Średnie techniczne,Agronom – ekspert,1,0,0,1
1203,kujawsko-pomorskie,100-250 Ha,Aronia,5,Detractor,50+,Średnie techniczne,Agronom – ekspert,1,0,0,1
1203,kujawsko-pomorskie,100-250 Ha,Jagody,3,Detractor,50+,Średnie techniczne,Agronom – ekspert,1,0,0,1
1218,kujawsko-pomorskie,25-50 Ha,Jablka,9,Promotor,<30,Średnie ogólne,Główny agronom,0,0,1,1
1218,kujawsko-pomorskie,25-50 Ha,Truskawki,NA,NA,<30,Średnie ogólne,Główny agronom,NA,NA,NA,1
1218,kujawsko-pomorskie,25-50 Ha,Sliwki,7,Neutral,<30,Średnie ogólne,Główny agronom,0,1,0,1
1218,kujawsko-pomorskie,25-50 Ha,Gruszki,9,Promotor,<30,Średnie ogólne,Główny agronom,0,0,1,1
1218,kujawsko-pomorskie,25-50 Ha,Wisnie,7,Neutral,<30,Średnie ogólne,Główny agronom,0,1,0,1
1218,kujawsko-pomorskie,25-50 Ha,Borowki,4,Detractor,<30,Średnie ogólne,Główny agronom,1,0,0,1
1218,kujawsko-pomorskie,25-50 Ha,Porzeczki,8,Neutral,<30,Średnie ogólne,Główny agronom,0,1,0,1
1218,kujawsko-pomorskie,25-50 Ha,Maliny,2,Detractor,<30,Średnie ogólne,Główny agronom,1,0,0,1
1218,kujawsko-pomorskie,25-50 Ha,Aronia,1,Detractor,<30,Średnie ogólne,Główny agronom,1,0,0,1
1218,kujawsko-pomorskie,25-50 Ha,Jagody,9,Promotor,<30,Średnie ogólne,Główny agronom,0,0,1,1
1221,kujawsko-pomorskie,5-25 Ha,Jablka,5,Detractor,30-39,Średnie techniczne,Agronom – ekspert,1,0,0,1
1221,kujawsko-pomorskie,5-25 Ha,Truskawki,9,Promotor,30-39,Średnie techniczne,Agronom – ekspert,0,0,1,1
1221,kujawsko-pomorskie,5-25 Ha,Sliwki,8,Neutral,30-39,Średnie techniczne,Agronom – ekspert,0,1,0,1
1221,kujawsko-pomorskie,5-25 Ha,Gruszki,3,Detractor,30-39,Średnie techniczne,Agronom – ekspert,1,0,0,1
1221,kujawsko-pomorskie,5-25 Ha,Wisnie,7,Neutral,30-39,Średnie techniczne,Agronom – ekspert,0,1,0,1
1221,kujawsko-pomorskie,5-25 Ha,Borowki,10,Promotor,30-39,Średnie techniczne,Agronom – ekspert,0,0,1,1
1221,kujawsko-pomorskie,5-25 Ha,Porzeczki,7,Neutral,30-39,Średnie techniczne,Agronom – ekspert,0,1,0,1
1221,kujawsko-pomorskie,5-25 Ha,Maliny,10,Promotor,30-39,Średnie techniczne,Agronom – ekspert,0,0,1,1
1221,kujawsko-pomorskie,5-25 Ha,Aronia,3,Detractor,30-39,Średnie techniczne,Agronom – ekspert,1,0,0,1
1221,kujawsko-pomorskie,5-25 Ha,Jagody,2,Detractor,30-39,Średnie techniczne,Agronom – ekspert,1,0,0,1
1233,kujawsko-pomorskie,Więcej niż 250 Ha,Jablka,6,Detractor,50+,Średnie techniczne,Właściciel,1,0,0,1
1233,kujawsko-pomorskie,Więcej niż 250 Ha,Truskawki,4,Detractor,50+,Średnie techniczne,Właściciel,1,0,0,1
1233,kujawsko-pomorskie,Więcej niż 250 Ha,Sliwki,NA,NA,50+,Średnie techniczne,Właściciel,NA,NA,NA,1
1233,kujawsko-pomorskie,Więcej niż 250 Ha,Gruszki,7,Neutral,50+,Średnie techniczne,Właściciel,0,1,0,1
1233,kujawsko-pomorskie,Więcej niż 250 Ha,Wisnie,6,Detractor,50+,Średnie techniczne,Właściciel,1,0,0,1
1233,kujawsko-pomorskie,Więcej niż 250 Ha,Borowki,10,Promotor,50+,Średnie techniczne,Właściciel,0,0,1,1
1233,kujawsko-pomorskie,Więcej niż 250 Ha,Porzeczki,10,Promotor,50+,Średnie techniczne,Właściciel,0,0,1,1
1233,kujawsko-pomorskie,Więcej niż 250 Ha,Maliny,5,Detractor,50+,Średnie techniczne,Właściciel,1,0,0,1
1233,kujawsko-pomorskie,Więcej niż 250 Ha,Aronia,NA,NA,50+,Średnie techniczne,Właściciel,NA,NA,NA,1
1233,kujawsko-pomorskie,Więcej niż 250 Ha,Jagody,8,Neutral,50+,Średnie techniczne,Właściciel,0,1,0,1
1234,kujawsko-pomorskie,100-250 Ha,Jablka,9,Promotor,50+,Wyższe,Główny agronom,0,0,1,1
1234,kujawsko-pomorskie,100-250 Ha,Truskawki,7,Neutral,50+,Wyższe,Główny agronom,0,1,0,1
1234,kujawsko-pomorskie,100-250 Ha,Sliwki,9,Promotor,50+,Wyższe,Główny agronom,0,0,1,1
1234,kujawsko-pomorskie,100-250 Ha,Gruszki,7,Neutral,50+,Wyższe,Główny agronom,0,1,0,1
1234,kujawsko-pomorskie,100-250 Ha,Wisnie,4,Detractor,50+,Wyższe,Główny agronom,1,0,0,1
1234,kujawsko-pomorskie,100-250 Ha,Borowki,9,Promotor,50+,Wyższe,Główny agronom,0,0,1,1
1234,kujawsko-pomorskie,100-250 Ha,Porzeczki,9,Promotor,50+,Wyższe,Główny agronom,0,0,1,1
1234,kujawsko-pomorskie,100-250 Ha,Maliny,8,Neutral,50+,Wyższe,Główny agronom,0,1,0,1
1234,kujawsko-pomorskie,100-250 Ha,Aronia,5,Detractor,50+,Wyższe,Główny agronom,1,0,0,1
1234,kujawsko-pomorskie,100-250 Ha,Jagody,9,Promotor,50+,Wyższe,Główny agronom,0,0,1,1
1236,kujawsko-pomorskie,50-100 Ha,Jablka,10,Promotor,50+,Średnie ogólne,Właściciel,0,0,1,1
1236,kujawsko-pomorskie,50-100 Ha,Truskawki,10,Promotor,50+,Średnie ogólne,Właściciel,0,0,1,1
1236,kujawsko-pomorskie,50-100 Ha,Sliwki,9,Promotor,50+,Średnie ogólne,Właściciel,0,0,1,1
1236,kujawsko-pomorskie,50-100 Ha,Gruszki,8,Neutral,50+,Średnie ogólne,Właściciel,0,1,0,1
1236,kujawsko-pomorskie,50-100 Ha,Wisnie,10,Promotor,50+,Średnie ogólne,Właściciel,0,0,1,1
1236,kujawsko-pomorskie,50-100 Ha,Borowki,3,Detractor,50+,Średnie ogólne,Właściciel,1,0,0,1
1236,kujawsko-pomorskie,50-100 Ha,Porzeczki,9,Promotor,50+,Średnie ogólne,Właściciel,0,0,1,1
1236,kujawsko-pomorskie,50-100 Ha,Maliny,4,Detractor,50+,Średnie ogólne,Właściciel,1,0,0,1
1236,kujawsko-pomorskie,50-100 Ha,Aronia,2,Detractor,50+,Średnie ogólne,Właściciel,1,0,0,1
1236,kujawsko-pomorskie,50-100 Ha,Jagody,9,Promotor,50+,Średnie ogólne,Właściciel,0,0,1,1
1256,lubelskie,100-250 Ha,Jablka,10,Promotor,<30,Średnie ogólne,Dyrektor / wicedyrektor,0,0,1,1
1256,lubelskie,100-250 Ha,Truskawki,4,Detractor,<30,Średnie ogólne,Dyrektor / wicedyrektor,1,0,0,1
1256,lubelskie,100-250 Ha,Sliwki,1,Detractor,<30,Średnie ogólne,Dyrektor / wicedyrektor,1,0,0,1
1256,lubelskie,100-250 Ha,Gruszki,7,Neutral,<30,Średnie ogólne,Dyrektor / wicedyrektor,0,1,0,1
1256,lubelskie,100-250 Ha,Wisnie,2,Detractor,<30,Średnie ogólne,Dyrektor / wicedyrektor,1,0,0,1
1256,lubelskie,100-250 Ha,Borowki,8,Neutral,<30,Średnie ogólne,Dyrektor / wicedyrektor,0,1,0,1
1256,lubelskie,100-250 Ha,Porzeczki,9,Promotor,<30,Średnie ogólne,Dyrektor / wicedyrektor,0,0,1,1
1256,lubelskie,100-250 Ha,Maliny,1,Detractor,<30,Średnie ogólne,Dyrektor / wicedyrektor,1,0,0,1
1256,lubelskie,100-250 Ha,Aronia,9,Promotor,<30,Średnie ogólne,Dyrektor / wicedyrektor,0,0,1,1
1256,lubelskie,100-250 Ha,Jagody,10,Promotor,<30,Średnie ogólne,Dyrektor / wicedyrektor,0,0,1,1
1261,lubelskie,25-50 Ha,Jablka,9,Promotor,50+,Średnie techniczne,Właściciel,0,0,1,1
1261,lubelskie,25-50 Ha,Truskawki,9,Promotor,50+,Średnie techniczne,Właściciel,0,0,1,1
1261,lubelskie,25-50 Ha,Sliwki,2,Detractor,50+,Średnie techniczne,Właściciel,1,0,0,1
1261,lubelskie,25-50 Ha,Gruszki,4,Detractor,50+,Średnie techniczne,Właściciel,1,0,0,1
1261,lubelskie,25-50 Ha,Wisnie,9,Promotor,50+,Średnie techniczne,Właściciel,0,0,1,1
1261,lubelskie,25-50 Ha,Borowki,9,Promotor,50+,Średnie techniczne,Właściciel,0,0,1,1
1261,lubelskie,25-50 Ha,Porzeczki,4,Detractor,50+,Średnie techniczne,Właściciel,1,0,0,1
1261,lubelskie,25-50 Ha,Maliny,3,Detractor,50+,Średnie techniczne,Właściciel,1,0,0,1
1261,lubelskie,25-50 Ha,Aronia,8,Neutral,50+,Średnie techniczne,Właściciel,0,1,0,1
1261,lubelskie,25-50 Ha,Jagody,7,Neutral,50+,Średnie techniczne,Właściciel,0,1,0,1
1271,lubelskie,5-25 Ha,Jablka,6,Detractor,50+,Średnie ogólne,???,1,0,0,1
1271,lubelskie,5-25 Ha,Truskawki,4,Detractor,50+,Średnie ogólne,???,1,0,0,1
1271,lubelskie,5-25 Ha,Sliwki,7,Neutral,50+,Średnie ogólne,???,0,1,0,1
1271,lubelskie,5-25 Ha,Gruszki,7,Neutral,50+,Średnie ogólne,???,0,1,0,1
1271,lubelskie,5-25 Ha,Wisnie,6,Detractor,50+,Średnie ogólne,???,1,0,0,1
1271,lubelskie,5-25 Ha,Borowki,6,Detractor,50+,Średnie ogólne,???,1,0,0,1
1271,lubelskie,5-25 Ha,Porzeczki,9,Promotor,50+,Średnie ogólne,???,0,0,1,1
1271,lubelskie,5-25 Ha,Maliny,7,Neutral,50+,Średnie ogólne,???,0,1,0,1
1271,lubelskie,5-25 Ha,Aronia,7,Neutral,50+,Średnie ogólne,???,0,1,0,1
1271,lubelskie,5-25 Ha,Jagody,6,Detractor,50+,Średnie ogólne,???,1,0,0,1
1272,lubelskie,25-50 Ha,Jablka,2,Detractor,40-49,Wyższe,Agronom – ekspert,1,0,0,1
1272,lubelskie,25-50 Ha,Truskawki,9,Promotor,40-49,Wyższe,Agronom – ekspert,0,0,1,1
1272,lubelskie,25-50 Ha,Sliwki,6,Detractor,40-49,Wyższe,Agronom – ekspert,1,0,0,1
1272,lubelskie,25-50 Ha,Gruszki,5,Detractor,40-49,Wyższe,Agronom – ekspert,1,0,0,1
1272,lubelskie,25-50 Ha,Wisnie,9,Promotor,40-49,Wyższe,Agronom – ekspert,0,0,1,1
1272,lubelskie,25-50 Ha,Borowki,9,Promotor,40-49,Wyższe,Agronom – ekspert,0,0,1,1
1272,lubelskie,25-50 Ha,Porzeczki,7,Neutral,40-49,Wyższe,Agronom – ekspert,0,1,0,1
1272,lubelskie,25-50 Ha,Maliny,2,Detractor,40-49,Wyższe,Agronom – ekspert,1,0,0,1
1272,lubelskie,25-50 Ha,Aronia,2,Detractor,40-49,Wyższe,Agronom – ekspert,1,0,0,1
1272,lubelskie,25-50 Ha,Jagody,5,Detractor,40-49,Wyższe,Agronom – ekspert,1,0,0,1
1286,lubelskie,25-50 Ha,Jablka,4,Detractor,50+,Średnie ogólne,Główny agronom,1,0,0,1
1286,lubelskie,25-50 Ha,Truskawki,9,Promotor,50+,Średnie ogólne,Główny agronom,0,0,1,1
1286,lubelskie,25-50 Ha,Sliwki,3,Detractor,50+,Średnie ogólne,Główny agronom,1,0,0,1
1286,lubelskie,25-50 Ha,Gruszki,4,Detractor,50+,Średnie ogólne,Główny agronom,1,0,0,1
1286,lubelskie,25-50 Ha,Wisnie,9,Promotor,50+,Średnie ogólne,Główny agronom,0,0,1,1
1286,lubelskie,25-50 Ha,Borowki,1,Detractor,50+,Średnie ogólne,Główny agronom,1,0,0,1
1286,lubelskie,25-50 Ha,Porzeczki,5,Detractor,50+,Średnie ogólne,Główny agronom,1,0,0,1
1286,lubelskie,25-50 Ha,Maliny,5,Detractor,50+,Średnie ogólne,Główny agronom,1,0,0,1
1286,lubelskie,25-50 Ha,Aronia,6,Detractor,50+,Średnie ogólne,Główny agronom,1,0,0,1
1286,lubelskie,25-50 Ha,Jagody,8,Neutral,50+,Średnie ogólne,Główny agronom,0,1,0,1
1292,lubelskie,100-250 Ha,Jablka,1,Detractor,50+,Średnie techniczne,Właściciel,1,0,0,1
1292,lubelskie,100-250 Ha,Truskawki,3,Detractor,50+,Średnie techniczne,Właściciel,1,0,0,1
1292,lubelskie,100-250 Ha,Sliwki,5,Detractor,50+,Średnie techniczne,Właściciel,1,0,0,1
1292,lubelskie,100-250 Ha,Gruszki,10,Promotor,50+,Średnie techniczne,Właściciel,0,0,1,1
1292,lubelskie,100-250 Ha,Wisnie,7,Neutral,50+,Średnie techniczne,Właściciel,0,1,0,1
1292,lubelskie,100-250 Ha,Borowki,8,Neutral,50+,Średnie techniczne,Właściciel,0,1,0,1
1292,lubelskie,100-250 Ha,Porzeczki,6,Detractor,50+,Średnie techniczne,Właściciel,1,0,0,1
1292,lubelskie,100-250 Ha,Maliny,9,Promotor,50+,Średnie techniczne,Właściciel,0,0,1,1
1292,lubelskie,100-250 Ha,Aronia,5,Detractor,50+,Średnie techniczne,Właściciel,1,0,0,1
1292,lubelskie,100-250 Ha,Jagody,3,Detractor,50+,Średnie techniczne,Właściciel,1,0,0,1
1293,lubelskie,Więcej niż 250 Ha,Jablka,6,Detractor,<30,Średnie ogólne,Dyrektor / wicedyrektor,1,0,0,1
1293,lubelskie,Więcej niż 250 Ha,Truskawki,8,Neutral,<30,Średnie ogólne,Dyrektor / wicedyrektor,0,1,0,1
1293,lubelskie,Więcej niż 250 Ha,Sliwki,5,Detractor,<30,Średnie ogólne,Dyrektor / wicedyrektor,1,0,0,1
1293,lubelskie,Więcej niż 250 Ha,Gruszki,6,Detractor,<30,Średnie ogólne,Dyrektor / wicedyrektor,1,0,0,1
1293,lubelskie,Więcej niż 250 Ha,Wisnie,6,Detractor,<30,Średnie ogólne,Dyrektor / wicedyrektor,1,0,0,1
1293,lubelskie,Więcej niż 250 Ha,Borowki,10,Promotor,<30,Średnie ogólne,Dyrektor / wicedyrektor,0,0,1,1
1293,lubelskie,Więcej niż 250 Ha,Porzeczki,9,Promotor,<30,Średnie ogólne,Dyrektor / wicedyrektor,0,0,1,1
1293,lubelskie,Więcej niż 250 Ha,Maliny,3,Detractor,<30,Średnie ogólne,Dyrektor / wicedyrektor,1,0,0,1
1293,lubelskie,Więcej niż 250 Ha,Aronia,NA,NA,<30,Średnie ogólne,Dyrektor / wicedyrektor,NA,NA,NA,1
1293,lubelskie,Więcej niż 250 Ha,Jagody,10,Promotor,<30,Średnie ogólne,Dyrektor / wicedyrektor,0,0,1,1
1294,lubuskie,25-50 Ha,Jablka,10,Promotor,30-39,Średnie ogólne,Główny agronom,0,0,1,1
1294,lubuskie,25-50 Ha,Truskawki,8,Neutral,30-39,Średnie ogólne,Główny agronom,0,1,0,1
1294,lubuskie,25-50 Ha,Sliwki,10,Promotor,30-39,Średnie ogólne,Główny agronom,0,0,1,1
1294,lubuskie,25-50 Ha,Gruszki,4,Detractor,30-39,Średnie ogólne,Główny agronom,1,0,0,1
1294,lubuskie,25-50 Ha,Wisnie,7,Neutral,30-39,Średnie ogólne,Główny agronom,0,1,0,1
1294,lubuskie,25-50 Ha,Borowki,8,Neutral,30-39,Średnie ogólne,Główny agronom,0,1,0,1
1294,lubuskie,25-50 Ha,Porzeczki,7,Neutral,30-39,Średnie ogólne,Główny agronom,0,1,0,1
1294,lubuskie,25-50 Ha,Maliny,6,Detractor,30-39,Średnie ogólne,Główny agronom,1,0,0,1
1294,lubuskie,25-50 Ha,Aronia,1,Detractor,30-39,Średnie ogólne,Główny agronom,1,0,0,1
1294,lubuskie,25-50 Ha,Jagody,6,Detractor,30-39,Średnie ogólne,Główny agronom,1,0,0,1
1295,lubuskie,100-250 Ha,Jablka,2,Detractor,30-39,Średnie ogólne,Właściciel,1,0,0,1
1295,lubuskie,100-250 Ha,Truskawki,5,Detractor,30-39,Średnie ogólne,Właściciel,1,0,0,1
1295,lubuskie,100-250 Ha,Sliwki,1,Detractor,30-39,Średnie ogólne,Właściciel,1,0,0,1
1295,lubuskie,100-250 Ha,Gruszki,2,Detractor,30-39,Średnie ogólne,Właściciel,1,0,0,1
1295,lubuskie,100-250 Ha,Wisnie,4,Detractor,30-39,Średnie ogólne,Właściciel,1,0,0,1
1295,lubuskie,100-250 Ha,Borowki,8,Neutral,30-39,Średnie ogólne,Właściciel,0,1,0,1
1295,lubuskie,100-250 Ha,Porzeczki,2,Detractor,30-39,Średnie ogólne,Właściciel,1,0,0,1
1295,lubuskie,100-250 Ha,Maliny,10,Promotor,30-39,Średnie ogólne,Właściciel,0,0,1,1
1295,lubuskie,100-250 Ha,Aronia,1,Detractor,30-39,Średnie ogólne,Właściciel,1,0,0,1
1295,lubuskie,100-250 Ha,Jagody,9,Promotor,30-39,Średnie ogólne,Właściciel,0,0,1,1
1319,lubuskie,100-250 Ha,Jablka,9,Promotor,50+,Średnie ogólne,Agronom – ekspert,0,0,1,1
1319,lubuskie,100-250 Ha,Truskawki,3,Detractor,50+,Średnie ogólne,Agronom – ekspert,1,0,0,1
1319,lubuskie,100-250 Ha,Sliwki,5,Detractor,50+,Średnie ogólne,Agronom – ekspert,1,0,0,1
1319,lubuskie,100-250 Ha,Gruszki,7,Neutral,50+,Średnie ogólne,Agronom – ekspert,0,1,0,1
1319,lubuskie,100-250 Ha,Wisnie,9,Promotor,50+,Średnie ogólne,Agronom – ekspert,0,0,1,1
1319,lubuskie,100-250 Ha,Borowki,9,Promotor,50+,Średnie ogólne,Agronom – ekspert,0,0,1,1
1319,lubuskie,100-250 Ha,Porzeczki,7,Neutral,50+,Średnie ogólne,Agronom – ekspert,0,1,0,1
1319,lubuskie,100-250 Ha,Maliny,4,Detractor,50+,Średnie ogólne,Agronom – ekspert,1,0,0,1
