RecordNo,Index,TopofMind,Unaided,Aided,TotalAwarness,Wykształcenie,Funkcja
1327,1,NA,NA,Truskawki,NA,Średnie ogólne,Główny agronom
1356,1,Borówki,Borówki,Truskawki,Borówki,Średnie ogólne,Dyrektor / wicedyrektor
1358,1,NA,NA,Truskawki,NA,Średnie techniczne,Dyrektor / wicedyrektor
1364,1,NA,NA,Jabłka,NA,Średnie ogólne,Właściciel
1375,1,Truskawki,Truskawki,Jabłka,Truskawki,Średnie ogólne,Dyrektor / wicedyrektor
1377,1,Maliny,Maliny,Jabłka,Maliny,Średnie ogólne,Dyrektor / wicedyrektor
1382,1,Jabłka,Jabłka,Jabłka,Jabłka,Średnie ogólne,???
1393,1,Maliny,Maliny,Jabłka,Maliny,Wyższe rolnicze,Właściciel
1403,1,Maliny,Maliny,Śliwki,Maliny,Średnie ogólne,Właściciel
1404,1,NA,NA,Śliwki,NA,Średnie ogólne,Właściciel
1412,1,Maliny,Maliny,Jabłka,Maliny,Średnie ogólne,Agronom – ekspert
1413,1,NA,NA,Jabłka,NA,Średnie ogólne,Agronom – ekspert
1430,1,Śliwki,Śliwki,Truskawki,Śliwki,Średnie ogólne,???
1450,1,NA,NA,Jabłka,NA,Średnie ogólne,Agronom – ekspert
1469,1,Gruszki,Gruszki,Śliwki,Gruszki,Średnie ogólne,Właściciel
1475,1,Maliny,Maliny,Truskawki,Maliny,Średnie techniczne,Agronom – ekspert
1476,1,NA,NA,Truskawki,NA,Średnie ogólne,Główny agronom
1477,1,Maliny,Maliny,Jabłka,Maliny,Średnie ogólne,Główny agronom
1490,1,Maliny,Maliny,Truskawki,Maliny,Średnie techniczne,???
1501,1,Gruszki,Gruszki,Truskawki,Gruszki,Średnie ogólne,???
1503,1,Maliny,Maliny,Jabłka,Maliny,Średnie ogólne,Agronom – ekspert
1508,1,Maliny,Maliny,Jabłka,Maliny,Średnie ogólne,Agronom – ekspert
1529,1,Maliny,Maliny,Jabłka,Maliny,Średnie ogólne,Główny agronom
1531,1,NA,NA,Aronia,NA,Średnie ogólne,Właściciel
1540,1,Gruszki,Gruszki,Jabłka,Gruszki,Średnie ogólne,Właściciel
1548,1,NA,NA,Jabłka,NA,Średnie ogólne,???
1567,1,Maliny,Maliny,Jabłka,Maliny,Średnie ogólne,Właściciel
1575,1,Maliny,Maliny,Truskawki,Maliny,Średnie ogólne,Dyrektor / wicedyrektor
1578,1,Śliwki,Śliwki,Jabłka,Śliwki,Średnie ogólne,Właściciel
1581,1,Jabłka,Jabłka,Jabłka,Jabłka,Średnie ogólne,Właściciel
1588,1,Jagody,Jagody,Truskawki,Jagody,Średnie ogólne,Agronom – ekspert
1591,1,NA,NA,Jabłka,NA,Średnie ogólne,Właściciel
1599,1,NA,NA,Jabłka,NA,Średnie ogólne,???
1605,1,NA,NA,Truskawki,NA,Średnie ogólne,Agronom – ekspert
1634,1,Maliny,Maliny,NA,Maliny,Średnie ogólne,Agronom – ekspert
1638,1,NA,NA,Jabłka,NA,Średnie ogólne,Właściciel
1653,1,Maliny,Maliny,Śliwki,Maliny,Średnie techniczne,Właściciel
1666,1,NA,NA,Truskawki,NA,Średnie ogólne,Agronom – ekspert
1672,1,Maliny,Maliny,NA,Maliny,Średnie ogólne,Właściciel
1694,1,Maliny,Maliny,Jabłka,Maliny,Średnie ogólne,Agronom – ekspert
1705,1,NA,NA,Śliwki,NA,Średnie ogólne,Dyrektor / wicedyrektor
1710,1,Jabłka,Jabłka,Jabłka,Jabłka,Średnie ogólne,Agronom – ekspert
1712,1,Maliny,Maliny,Jabłka,Maliny,Średnie ogólne,Agronom – ekspert
1719,1,NA,NA,Truskawki,NA,Średnie ogólne,???
1739,1,NA,NA,Jabłka,NA,Średnie ogólne,Główny agronom
1740,1,Maliny,Maliny,Jagody,Maliny,Średnie ogólne,Główny agronom
1752,1,Jabłka,Jabłka,NA,Jabłka,Średnie ogólne,Agronom – ekspert
1777,1,Maliny,Maliny,Jabłka,Maliny,Średnie ogólne,Główny agronom
1792,1,Maliny,Maliny,Truskawki,Maliny,Wyższe,???
1851,1,NA,NA,Jabłka,NA,Średnie ogólne,???
1860,1,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1863,1,NA,NA,Jabłka,NA,Średnie ogólne,???
1866,1,NA,NA,NA,NA,Średnie ogólne,???
1870,1,NA,NA,Jabłka,NA,Średnie ogólne,???
1909,1,NA,NA,Jabłka,NA,Średnie ogólne,???
1959,1,NA,NA,Jagody,NA,Średnie ogólne,???
1971,1,Maliny,Maliny,Truskawki,Maliny,Średnie ogólne,Właściciel
1974,1,Jagody,Jagody,Śliwki,Jagody,Średnie techniczne,???
1978,1,Truskawki,Truskawki,Maliny,Truskawki,Wyższe rolnicze,Właściciel
1984,1,Gruszki,Gruszki,Jabłka,Gruszki,Wyższe,Agronom – ekspert
1994,1,Jabłka,Jabłka,Jagody,Jabłka,Wyższe rolnicze,???
2000,1,Truskawki,Truskawki,Maliny,Truskawki,Wyższe,Dyrektor / wicedyrektor
2004,1,Truskawki,Truskawki,Wiśnie,Truskawki,Wyższe,Dyrektor / wicedyrektor
2019,1,Jabłka,Jabłka,Jagody,Jabłka,Wyższe,Główny agronom
2024,1,Śliwki,Śliwki,Truskawki,Śliwki,Wyższe,Dyrektor / wicedyrektor
2026,1,Borówki,Borówki,Truskawki,Borówki,Średnie techniczne,Główny agronom
2036,1,Jagody,Jagody,Aronia,Jagody,Wyższe,Właściciel
2051,1,Borówki,Borówki,NA,Borówki,Średnie ogólne,Dyrektor / wicedyrektor
2057,1,Borówki,Borówki,Śliwki,Borówki,Średnie ogólne,Dyrektor / wicedyrektor
2061,1,Maliny,Maliny,Jagody,Maliny,Wyższe,???
2064,1,Aronia,Aronia,Jagody,Aronia,Średnie techniczne,???
2069,1,Śliwki,Śliwki,Jabłka,Śliwki,Wyższe rolnicze,Główny agronom
2070,1,Gruszki,Gruszki,Porzeczki,Gruszki,Wyższe,???
2082,1,Wiśnie,Wiśnie,Truskawki,Wiśnie,Wyższe,Główny agronom
2083,1,Aronia,Aronia,NA,Aronia,Średnie techniczne,Agronom – ekspert
2088,1,Gruszki,Gruszki,Truskawki,Gruszki,Wyższe,???
2101,1,Jabłka,Jabłka,Porzeczki,Jabłka,Średnie techniczne,Dyrektor / wicedyrektor
2124,1,Borówki,Borówki,Wiśnie,Borówki,Wyższe,Właściciel
2128,1,Jagody,Jagody,Porzeczki,Jagody,Wyższe,Dyrektor / wicedyrektor
2138,1,Jabłka,Jabłka,Borówki,Jabłka,Wyższe,???
2150,1,Gruszki,Gruszki,NA,Gruszki,Wyższe,???
2159,1,Porzeczki,Porzeczki,NA,Porzeczki,Wyższe rolnicze,Dyrektor / wicedyrektor
2163,1,Gruszki,Gruszki,Porzeczki,Gruszki,Średnie techniczne,Agronom – ekspert
2164,1,Maliny,Maliny,NA,Maliny,Średnie techniczne,Dyrektor / wicedyrektor
2167,1,Borówki,Borówki,Jabłka,Borówki,Średnie ogólne,Dyrektor / wicedyrektor
2180,1,Maliny,Maliny,Wiśnie,Maliny,Średnie ogólne,Właściciel
2196,1,Aronia,Aronia,Maliny,Aronia,Średnie techniczne,???
2198,1,Wiśnie,Wiśnie,Aronia,Wiśnie,Wyższe,Właściciel
2209,1,Śliwki,Śliwki,Jabłka,Śliwki,Wyższe rolnicze,Agronom – ekspert
2210,1,NA,NA,Truskawki,NA,Wyższe,???
2218,1,Maliny,Maliny,Jabłka,Maliny,Wyższe,???
2223,1,Jabłka,Jabłka,Borówki,Jabłka,Wyższe rolnicze,Właściciel
2231,1,Jagody,Jagody,Aronia,Jagody,Średnie ogólne,Agronom – ekspert
2262,1,Borówki,Borówki,Jagody,Borówki,Średnie ogólne,???
2269,1,Śliwki,Śliwki,Aronia,Śliwki,Średnie ogólne,???
2270,1,Jabłka,Jabłka,Jagody,Jabłka,Wyższe,Właściciel
2283,1,Jagody,Jagody,Porzeczki,Jagody,Wyższe,Dyrektor / wicedyrektor
2291,1,Truskawki,Truskawki,Jagody,Truskawki,Wyższe,Główny agronom
2300,1,Borówki,Borówki,Aronia,Borówki,Średnie techniczne,Agronom – ekspert
2309,1,Porzeczki,Porzeczki,Gruszki,Porzeczki,Wyższe,Agronom – ekspert
2311,1,Gruszki,Gruszki,Maliny,Gruszki,Średnie techniczne,Główny agronom
2316,1,Borówki,Borówki,Porzeczki,Borówki,Średnie ogólne,Właściciel
2326,1,Porzeczki,Porzeczki,Borówki,Porzeczki,Wyższe rolnicze,Agronom – ekspert
2329,1,Wiśnie,Wiśnie,Jabłka,Wiśnie,Średnie ogólne,???
2341,1,Aronia,Aronia,Maliny,Aronia,Średnie techniczne,Właściciel
2343,1,Jabłka,Jabłka,Gruszki,Jabłka,Wyższe,Agronom – ekspert
2355,1,Gruszki,Gruszki,Maliny,Gruszki,Wyższe rolnicze,???
2420,1,Śliwki,Śliwki,Jagody,Śliwki,Średnie techniczne,Agronom – ekspert
2422,1,Maliny,Maliny,Jagody,Maliny,Średnie ogólne,Główny agronom
2432,1,Śliwki,Śliwki,Wiśnie,Śliwki,Wyższe rolnicze,Inne
2437,1,Porzeczki,Porzeczki,Maliny,Porzeczki,Wyższe,Agronom – ekspert
2438,1,Wiśnie,Wiśnie,Borówki,Wiśnie,Wyższe rolnicze,Główny agronom
2442,1,Maliny,Maliny,Borówki,Maliny,Wyższe rolnicze,???
2446,1,Borówki,Borówki,Śliwki,Borówki,Średnie ogólne,Właściciel
2452,1,Jabłka,Jabłka,Śliwki,Jabłka,Wyższe,Dyrektor / wicedyrektor
2457,1,Borówki,Borówki,Aronia,Borówki,Średnie techniczne,Dyrektor / wicedyrektor
2479,1,Borówki,Borówki,Porzeczki,Borówki,Wyższe rolnicze,Główny agronom
2484,1,Śliwki,Śliwki,Gruszki,Śliwki,Średnie techniczne,Agronom – ekspert
2489,1,Aronia,Aronia,Truskawki,Aronia,Wyższe rolnicze,Agronom – ekspert
2500,1,Porzeczki,Porzeczki,Maliny,Porzeczki,Wyższe rolnicze,Agronom – ekspert
2504,1,Aronia,Aronia,Truskawki,Aronia,Wyższe rolnicze,Dyrektor / wicedyrektor
2509,1,Truskawki,Truskawki,Jagody,Truskawki,Średnie techniczne,Właściciel
2520,1,Gruszki,Gruszki,Truskawki,Gruszki,Średnie techniczne,Właściciel
2527,1,Jabłka,Jabłka,Maliny,Jabłka,Średnie ogólne,Właściciel
2537,1,Porzeczki,Porzeczki,Aronia,Porzeczki,Średnie ogólne,Właściciel
2538,1,Śliwki,Śliwki,Borówki,Śliwki,Średnie techniczne,???
2545,1,Aronia,Aronia,Truskawki,Aronia,Wyższe,Główny agronom
2549,1,Śliwki,Śliwki,Jabłka,Śliwki,Średnie ogólne,Dyrektor / wicedyrektor
2563,1,Gruszki,Gruszki,Wiśnie,Gruszki,Wyższe rolnicze,Agronom – ekspert
2568,1,Borówki,Borówki,Porzeczki,Borówki,Średnie techniczne,???
2571,1,Gruszki,Gruszki,Truskawki,Gruszki,Wyższe,Agronom – ekspert
2574,1,Truskawki,Truskawki,Porzeczki,Truskawki,Średnie techniczne,Dyrektor / wicedyrektor
2603,1,Wiśnie,Wiśnie,Aronia,Wiśnie,Średnie ogólne,Główny agronom
2613,1,Śliwki,Śliwki,Truskawki,Śliwki,Wyższe,Dyrektor / wicedyrektor
2628,1,Wiśnie,Wiśnie,Jagody,Wiśnie,Wyższe,Agronom – ekspert
2631,1,Aronia,Aronia,Borówki,Aronia,Wyższe rolnicze,Agronom – ekspert
2634,1,Jagody,Jagody,Aronia,Jagody,Wyższe,???
2638,1,Śliwki,Śliwki,Aronia,Śliwki,Wyższe,Agronom – ekspert
2643,1,Jagody,Jagody,Maliny,Jagody,Średnie ogólne,Dyrektor / wicedyrektor
2647,1,Borówki,Borówki,Porzeczki,Borówki,Średnie techniczne,Dyrektor / wicedyrektor
2660,1,Wiśnie,Wiśnie,Aronia,Wiśnie,Wyższe,Agronom – ekspert
2670,1,Jagody,Jagody,NA,Jagody,Średnie ogólne,Główny agronom
2674,1,Jabłka,Jabłka,Truskawki,Jabłka,Wyższe rolnicze,Agronom – ekspert
2685,1,Jabłka,Jabłka,Borówki,Jabłka,Średnie ogólne,Właściciel
2688,1,Truskawki,Truskawki,Śliwki,Truskawki,Średnie ogólne,???
2703,1,Jabłka,Jabłka,Gruszki,Jabłka,Wyższe,???
2707,1,Aronia,Aronia,Jabłka,Aronia,Średnie ogólne,Agronom – ekspert
2712,1,Gruszki,Gruszki,Jabłka,Gruszki,Średnie techniczne,Właściciel
2716,1,Borówki,Borówki,Maliny,Borówki,Średnie techniczne,Dyrektor / wicedyrektor
2719,1,Wiśnie,Wiśnie,Truskawki,Wiśnie,Średnie ogólne,Dyrektor / wicedyrektor
2727,1,Porzeczki,Porzeczki,Gruszki,Porzeczki,Średnie techniczne,Agronom – ekspert
2744,1,Porzeczki,Porzeczki,Wiśnie,Porzeczki,Wyższe,Dyrektor / wicedyrektor
2750,1,Śliwki,Śliwki,Jabłka,Śliwki,Wyższe,Główny agronom
2769,1,Gruszki,Gruszki,Porzeczki,Gruszki,Wyższe rolnicze,Właściciel
2773,1,Borówki,Borówki,Aronia,Borówki,Średnie ogólne,Agronom – ekspert
2780,1,Jabłka,Jabłka,Śliwki,Jabłka,Wyższe,Dyrektor / wicedyrektor
2790,1,Borówki,Borówki,Maliny,Borówki,Średnie ogólne,???
2795,1,Śliwki,Śliwki,Porzeczki,Śliwki,Wyższe rolnicze,Właściciel
2798,1,Jabłka,Jabłka,Truskawki,Jabłka,Średnie techniczne,Właściciel
2801,1,Aronia,Aronia,Maliny,Aronia,Średnie techniczne,Główny agronom
2804,1,Aronia,Aronia,Gruszki,Aronia,Wyższe rolnicze,Agronom – ekspert
2809,1,Porzeczki,Porzeczki,Truskawki,Porzeczki,Wyższe,???
2815,1,Śliwki,Śliwki,Borówki,Śliwki,Średnie techniczne,Właściciel
2822,1,Śliwki,Śliwki,Porzeczki,Śliwki,Średnie techniczne,Właściciel
2824,1,Gruszki,Gruszki,Jagody,Gruszki,Średnie techniczne,Właściciel
2832,1,Jabłka,Jabłka,Truskawki,Jabłka,Średnie ogólne,???
2835,1,Porzeczki,Porzeczki,Jabłka,Porzeczki,Średnie techniczne,???
2837,1,Wiśnie,Wiśnie,Truskawki,Wiśnie,Średnie techniczne,Dyrektor / wicedyrektor
2853,1,Jagody,Jagody,Aronia,Jagody,Średnie ogólne,Dyrektor / wicedyrektor
2862,1,Jagody,Jagody,Aronia,Jagody,Średnie ogólne,Dyrektor / wicedyrektor
2868,1,Porzeczki,Porzeczki,Aronia,Porzeczki,Średnie ogólne,Dyrektor / wicedyrektor
2871,1,Jabłka,Jabłka,Truskawki,Jabłka,Wyższe,Główny agronom
2879,1,Maliny,Maliny,Truskawki,Maliny,Wyższe,Właściciel
2880,1,Jabłka,Jabłka,Truskawki,Jabłka,Wyższe rolnicze,Dyrektor / wicedyrektor
2882,1,Borówki,Borówki,Aronia,Borówki,Średnie techniczne,???
2886,1,Maliny,Maliny,Borówki,Maliny,Wyższe,Główny agronom
1136,2,NA,NA,Śliwki,NA,Średnie techniczne,Właściciel
1143,2,NA,Jabłka,Porzeczki,Jabłka,Średnie ogólne,Główny agronom
1145,2,NA,Maliny,Truskawki,Maliny,Wyższe,Właściciel
1151,2,NA,NA,Truskawki,NA,Średnie ogólne,Dyrektor / wicedyrektor
1154,2,NA,Truskawki,NA,Truskawki,Średnie techniczne,Agronom – ekspert
1167,2,NA,Truskawki,Truskawki,Truskawki,Średnie techniczne,Główny agronom
1191,2,NA,NA,Truskawki,NA,Wyższe,Dyrektor / wicedyrektor
1203,2,NA,NA,Borówki,NA,Średnie techniczne,Agronom – ekspert
1218,2,NA,NA,Truskawki,NA,Średnie ogólne,Główny agronom
1221,2,NA,NA,Truskawki,NA,Średnie techniczne,Agronom – ekspert
1233,2,NA,NA,Śliwki,NA,Średnie techniczne,Właściciel
1234,2,NA,Jabłka,Śliwki,Jabłka,Wyższe,Główny agronom
1236,2,NA,NA,Truskawki,NA,Średnie ogólne,Właściciel
1256,2,NA,Porzeczki,Gruszki,Porzeczki,Średnie ogólne,Dyrektor / wicedyrektor
1261,2,NA,NA,Wiśnie,NA,Średnie techniczne,Właściciel
1271,2,NA,NA,Gruszki,NA,Średnie ogólne,???
1272,2,NA,Jabłka,Śliwki,Jabłka,Wyższe,Agronom – ekspert
1286,2,NA,NA,Gruszki,NA,Średnie ogólne,Główny agronom
1292,2,NA,Maliny,Truskawki,Maliny,Średnie techniczne,Właściciel
1293,2,NA,Wiśnie,NA,Wiśnie,Średnie ogólne,Dyrektor / wicedyrektor
1294,2,NA,Wiśnie,Truskawki,Wiśnie,Średnie ogólne,Główny agronom
1295,2,NA,Maliny,Wiśnie,Maliny,Średnie ogólne,Właściciel
1319,2,NA,Maliny,Gruszki,Maliny,Średnie ogólne,Agronom – ekspert
1322,2,NA,NA,Truskawki,NA,Średnie techniczne,Właściciel
1327,2,NA,NA,Śliwki,NA,Średnie ogólne,Główny agronom
1356,2,NA,Wiśnie,Śliwki,Wiśnie,Średnie ogólne,Dyrektor / wicedyrektor
1358,2,NA,NA,Śliwki,NA,Średnie techniczne,Dyrektor / wicedyrektor
1364,2,NA,NA,Truskawki,NA,Średnie ogólne,Właściciel
1375,2,NA,NA,Śliwki,NA,Średnie ogólne,Dyrektor / wicedyrektor
1377,2,NA,Jabłka,Truskawki,Jabłka,Średnie ogólne,Dyrektor / wicedyrektor
1382,2,NA,Śliwki,Truskawki,Śliwki,Średnie ogólne,???
1393,2,NA,Truskawki,Porzeczki,Truskawki,Wyższe rolnicze,Właściciel
1403,2,NA,Jabłka,Wiśnie,Jabłka,Średnie ogólne,Właściciel
1404,2,NA,NA,Gruszki,NA,Średnie ogólne,Właściciel
1412,2,NA,Borówki,Truskawki,Borówki,Średnie ogólne,Agronom – ekspert
1413,2,NA,NA,Wiśnie,NA,Średnie ogólne,Agronom – ekspert
1430,2,NA,Maliny,Śliwki,Maliny,Średnie ogólne,???
1450,2,NA,NA,Truskawki,NA,Średnie ogólne,Agronom – ekspert
1469,2,NA,Wiśnie,Wiśnie,Wiśnie,Średnie ogólne,Właściciel
1475,2,NA,Wiśnie,Gruszki,Wiśnie,Średnie techniczne,Agronom – ekspert
1476,2,NA,Maliny,Wiśnie,Maliny,Średnie ogólne,Główny agronom
1477,2,NA,Borówki,Truskawki,Borówki,Średnie ogólne,Główny agronom
1490,2,NA,Jabłka,Gruszki,Jabłka,Średnie techniczne,???
1501,2,NA,NA,Śliwki,NA,Średnie ogólne,???
1503,2,NA,Jabłka,Truskawki,Jabłka,Średnie ogólne,Agronom – ekspert
1508,2,NA,Jabłka,Truskawki,Jabłka,Średnie ogólne,Agronom – ekspert
1529,2,NA,NA,Wiśnie,NA,Średnie ogólne,Główny agronom
1531,2,NA,NA,Jagody,NA,Średnie ogólne,Właściciel
1540,2,NA,NA,Truskawki,NA,Średnie ogólne,Właściciel
1548,2,NA,Truskawki,Truskawki,Truskawki,Średnie ogólne,???
1567,2,NA,Wiśnie,Porzeczki,Wiśnie,Średnie ogólne,Właściciel
1575,2,NA,NA,Śliwki,NA,Średnie ogólne,Dyrektor / wicedyrektor
1578,2,NA,Maliny,Truskawki,Maliny,Średnie ogólne,Właściciel
1581,2,NA,Maliny,Truskawki,Maliny,Średnie ogólne,Właściciel
1588,2,NA,NA,Gruszki,NA,Średnie ogólne,Agronom – ekspert
1591,2,NA,NA,Truskawki,NA,Średnie ogólne,Właściciel
1599,2,NA,Jabłka,Truskawki,Jabłka,Średnie ogólne,???
1605,2,NA,NA,Śliwki,NA,Średnie ogólne,Agronom – ekspert
1634,2,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1638,2,NA,NA,Truskawki,NA,Średnie ogólne,Właściciel
1653,2,NA,Wiśnie,Gruszki,Wiśnie,Średnie techniczne,Właściciel
1666,2,NA,NA,Śliwki,NA,Średnie ogólne,Agronom – ekspert
1672,2,NA,Jabłka,NA,Jabłka,Średnie ogólne,Właściciel
1694,2,NA,Borówki,Truskawki,Borówki,Średnie ogólne,Agronom – ekspert
1705,2,NA,NA,Gruszki,NA,Średnie ogólne,Dyrektor / wicedyrektor
1710,2,NA,Maliny,Truskawki,Maliny,Średnie ogólne,Agronom – ekspert
1712,2,NA,Wiśnie,Truskawki,Wiśnie,Średnie ogólne,Agronom – ekspert
1719,2,NA,NA,Śliwki,NA,Średnie ogólne,???
1739,2,NA,Wiśnie,Śliwki,Wiśnie,Średnie ogólne,Główny agronom
1740,2,NA,Jabłka,NA,Jabłka,Średnie ogólne,Główny agronom
1752,2,NA,Maliny,NA,Maliny,Średnie ogólne,Agronom – ekspert
1777,2,NA,Truskawki,Śliwki,Truskawki,Średnie ogólne,Główny agronom
1792,2,NA,Borówki,Śliwki,Borówki,Wyższe,???
1851,2,NA,NA,Truskawki,NA,Średnie ogólne,???
1860,2,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1863,2,NA,NA,Wiśnie,NA,Średnie ogólne,???
1866,2,NA,NA,NA,NA,Średnie ogólne,???
1870,2,NA,Maliny,Truskawki,Maliny,Średnie ogólne,???
1909,2,NA,Wiśnie,Śliwki,Wiśnie,Średnie ogólne,???
1959,2,NA,Aronia,NA,Aronia,Średnie ogólne,???
1971,2,NA,Aronia,Jabłka,Aronia,Średnie ogólne,Właściciel
1974,2,NA,NA,Truskawki,NA,Średnie techniczne,???
1978,2,NA,Gruszki,Borówki,Gruszki,Wyższe rolnicze,Właściciel
1984,2,NA,Porzeczki,Jagody,Porzeczki,Wyższe,Agronom – ekspert
1994,2,NA,NA,Truskawki,NA,Wyższe rolnicze,???
2000,2,NA,Porzeczki,Śliwki,Porzeczki,Wyższe,Dyrektor / wicedyrektor
2004,2,NA,Gruszki,Jabłka,Gruszki,Wyższe,Dyrektor / wicedyrektor
2019,2,NA,Borówki,Aronia,Borówki,Wyższe,Główny agronom
2024,2,NA,Aronia,NA,Aronia,Wyższe,Dyrektor / wicedyrektor
2026,2,NA,NA,Aronia,NA,Średnie techniczne,Główny agronom
2036,2,NA,Truskawki,Borówki,Truskawki,Wyższe,Właściciel
2051,2,NA,Aronia,NA,Aronia,Średnie ogólne,Dyrektor / wicedyrektor
2057,2,NA,NA,Wiśnie,NA,Średnie ogólne,Dyrektor / wicedyrektor
2061,2,NA,Jabłka,NA,Jabłka,Wyższe,???
2064,2,NA,NA,Borówki,NA,Średnie techniczne,???
2069,2,NA,Maliny,Wiśnie,Maliny,Wyższe rolnicze,Główny agronom
2070,2,NA,Aronia,Jagody,Aronia,Wyższe,???
2082,2,NA,Porzeczki,NA,Porzeczki,Wyższe,Główny agronom
2083,2,NA,Wiśnie,NA,Wiśnie,Średnie techniczne,Agronom – ekspert
2088,2,NA,Wiśnie,Porzeczki,Wiśnie,Wyższe,???
2101,2,NA,NA,Śliwki,NA,Średnie techniczne,Dyrektor / wicedyrektor
2124,2,NA,Maliny,Jagody,Maliny,Wyższe,Właściciel
2128,2,NA,Borówki,Śliwki,Borówki,Wyższe,Dyrektor / wicedyrektor
2138,2,NA,Śliwki,Aronia,Śliwki,Wyższe,???
2150,2,NA,Aronia,NA,Aronia,Wyższe,???
2159,2,NA,NA,NA,NA,Wyższe rolnicze,Dyrektor / wicedyrektor
2163,2,NA,Wiśnie,Maliny,Wiśnie,Średnie techniczne,Agronom – ekspert
2164,2,NA,Borówki,NA,Borówki,Średnie techniczne,Dyrektor / wicedyrektor
2167,2,NA,Jagody,Truskawki,Jagody,Średnie ogólne,Dyrektor / wicedyrektor
2180,2,NA,Śliwki,Porzeczki,Śliwki,Średnie ogólne,Właściciel
2196,2,NA,Jabłka,Porzeczki,Jabłka,Średnie techniczne,???
2198,2,NA,NA,Truskawki,NA,Wyższe,Właściciel
2209,2,NA,NA,Truskawki,NA,Wyższe rolnicze,Agronom – ekspert
2210,2,NA,NA,Gruszki,NA,Wyższe,???
2218,2,NA,Borówki,Porzeczki,Borówki,Wyższe,???
2223,2,NA,Jagody,Porzeczki,Jagody,Wyższe rolnicze,Właściciel
2231,2,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
2262,2,NA,NA,Wiśnie,NA,Średnie ogólne,???
2269,2,NA,Wiśnie,Jagody,Wiśnie,Średnie ogólne,???
2270,2,NA,NA,Gruszki,NA,Wyższe,Właściciel
2283,2,NA,Gruszki,Śliwki,Gruszki,Wyższe,Dyrektor / wicedyrektor
2291,2,NA,Borówki,Maliny,Borówki,Wyższe,Główny agronom
2300,2,NA,NA,Porzeczki,NA,Średnie techniczne,Agronom – ekspert
2309,2,NA,Jabłka,Truskawki,Jabłka,Wyższe,Agronom – ekspert
2311,2,NA,Jabłka,Śliwki,Jabłka,Średnie techniczne,Główny agronom
2316,2,NA,NA,Jabłka,NA,Średnie ogólne,Właściciel
2326,2,NA,Maliny,Jabłka,Maliny,Wyższe rolnicze,Agronom – ekspert
2329,2,NA,Truskawki,Gruszki,Truskawki,Średnie ogólne,???
2341,2,NA,Wiśnie,Śliwki,Wiśnie,Średnie techniczne,Właściciel
2343,2,NA,NA,Borówki,NA,Wyższe,Agronom – ekspert
2355,2,NA,Borówki,NA,Borówki,Wyższe rolnicze,???
2420,2,NA,Truskawki,Aronia,Truskawki,Średnie techniczne,Agronom – ekspert
2422,2,NA,Truskawki,Porzeczki,Truskawki,Średnie ogólne,Główny agronom
2432,2,NA,NA,Maliny,NA,Wyższe rolnicze,Inne
2437,2,NA,Śliwki,Jabłka,Śliwki,Wyższe,Agronom – ekspert
2438,2,NA,Maliny,Truskawki,Maliny,Wyższe rolnicze,Główny agronom
2442,2,NA,Truskawki,Wiśnie,Truskawki,Wyższe rolnicze,???
